V1,V2,weight
1505,1123,0.73
1505,406,0.93
1505,501,0.98
762,75,0.88
493,982,0.84
493,1414,0.74
1687,1007,0.66
1737,1013,0.69
1737,841,0.79
1737,406,0.84
1160,236,0.69
1160,1308,0.6
1160,46,0.66
714,1517,0.99
714,407,0.98
236,1308,0.91
236,1164,0.74
236,1160,0.69
498,1639,0.87
498,319,0.89
918,486,0.92
918,588,0.45
918,469,0.9
826,549,0.43
539,319,0.96
539,668,0.99
539,1639,0.98
539,693,0.93
539,365,0.98
1302,1639,0.98
1302,285,0.98
1302,433,0.88
1302,644,0.98
1302,319,0.96
1302,1164,0.97
1302,406,0.64
1302,694,0.72
1302,96,0.64
1302,1216,0.64
1302,805,0.62
1302,378,0.93
1302,588,0.99
1302,1712,0.93
1302,807,0.97
1302,156,0.88
1302,933,0.53
1302,643,0.74
1302,1639,0.98
1302,660,0.67
1302,1761,0.45
1612,124,0.98
330,561,0.79
330,994,0.94
218,1164,0.47
218,43,0.87
218,694,0.79
218,93,0.74
218,224,0.64
1486,961,0.91
1486,537,0.86
1486,1660,0.94
166,1013,0.94
166,694,0.98
166,282,0.96
1518,229,0.66
1518,300,0.6
1518,1146,0.65
1518,1712,0.23
1518,979,0.76
64,841,0.93
161,770,0.89
161,364,0.96
161,1302,0.98
161,1126,0.69
161,994,0.8
161,1292,0.67
710,1162,0.98
710,195,0.85
1178,1689,0.99
1178,1698,0.88
1178,1298,0.93
805,486,0.92
805,1639,0.64
1698,501,0.95
1698,1097,0.93
1698,1654,0.95
1698,1316,0.91
1698,109,0.9
1689,1472,0.93
1689,93,0.65
1284,43,0.75
1284,879,0.76
827,486,0.9
827,689,0.9
827,506,0.84
827,46,0.64
827,1201,0.4
827,378,0.36
1667,886,0.75
1667,229,0.88
1667,1290,0.95
1667,1254,0.99
1667,319,0.57
1667,43,0.89
1667,1130,0.92
1580,937,0.79
1580,1516,0.96
1753,411,0.97
1753,9,0.89
1205,1118,0.7
1205,45,0.99
1205,1275,0.91
1205,578,0.93
1205,680,0.87
1205,660,0.88
1205,1322,0.4
1205,1013,0.75
1205,1164,0.51
492,353,0.98
492,1258,0.93
202,830,0.94
919,1561,0.94
1605,1712,0.35
1068,1118,0.98
1264,319,0.55
391,1203,0.89
1027,1166,0.91
1027,359,0.82
1268,977,0.86
1268,561,0.85
1268,462,0.46
1268,378,0.74
88,196,0.84
875,830,0.94
1469,873,0.95
1469,1164,0.35
1469,830,0.83
1469,1382,0.62
1469,1200,0.64
629,937,0.94
629,1085,0.98
406,1534,0.97
406,1302,0.64
406,588,0.64
406,319,0.69
406,348,0.94
406,1737,0.84
406,1409,0.89
406,1692,0.83
406,1755,0.92
406,1640,0.69
406,221,0.97
406,1282,0.98
406,1130,0.97
585,1200,0.94
585,1203,0.93
891,1302,0.79
891,972,0.96
891,996,0.88
891,1330,0.97
891,229,0.85
738,999,0.84
738,322,0.95
738,46,0.96
1420,486,0.9
1420,462,0.08
1420,1642,0.96
1570,43,0.81
308,1201,0.7
1727,652,0.76
1727,1320,0.74
1727,879,0.6
1349,39,0.94
1349,1538,0.94
483,1324,0.98
573,46,0.86
694,693,0.64
694,309,0.89
694,808,0.88
694,1190,0.85
694,977,0.76
694,560,0.98
694,1268,0.9
694,93,0.95
694,84,0.98
694,937,0.88
694,1013,0.93
694,406,0.93
1734,623,0.84
1494,406,0.82
1494,415,0.83
1326,433,0.97
1326,111,0.96
1326,285,0.87
1326,561,0.88
1326,792,0.92
1326,1639,0.86
1326,1164,0.81
1326,1190,0.98
340,1549,0.94
340,296,0.79
620,677,0.92
1656,1712,0.45
1656,1382,0.76
1656,1356,0.93
1282,1130,0.94
1282,1682,0.8
1282,979,0.88
75,614,0.55
1182,569,0.96
885,1013,0.78
885,1316,0.93
292,423,0.89
292,265,0.93
292,1148,0.98
1647,322,0.98
1647,119,0.98
1647,738,0.97
1314,1639,0.59
766,577,0.75
1497,1367,0.98
1497,1348,0.97
1497,1699,0.96
1497,1712,0.24
1497,1330,0.49
1497,1146,0.66
1713,937,0.99
